title,author,genre,url_book,url_image
Надзвичайна,В. Е. Шваб,Художня література,/catalog/komiksy/nadzvychajna/,https://book-ye.com.ua//upload/resize_cache/iblock/dd2/230_355_1/e5eabd54_8529_11ed_8177_0050568ef5e6_52e81b20_8c2a_11ed_8178_0050568ef5e6.jpg
Токійські месники (Tokyo Revengers). Том 1,Кен Вакуі,Художня література,/catalog/komiksy-dlya-ditej-i-pidlitkiv/tokijski-mesnyky-tokyo-revengers-tom-1/,https://book-ye.com.ua//upload/resize_cache/iblock/44a/230_355_1/fe05dc30_7946_11ec_815f_0050568ef5e6_8de564b1_c631_11ec_816f_0050568ef5e6.jpg
Ніч лагідна (Folio. Світова класика),Френсіс Скотт Фіцджеральд,Художня література,/catalog/zarubizhna-klasyka/nich-lahidna-folio-svitova-klasyka/,https://book-ye.com.ua//upload/resize_cache/iblock/aab/230_355_1/785471b1_3ff4_11ed_8175_0050568ef5e6_f66188e7_3ff4_11ed_8175_0050568ef5e6.jpg
Нудота (Класика),Жан-Поль Сартр,Художня література,/catalog/zarubizhna-klasyka/nudota-klasyka/,https://book-ye.com.ua//upload/resize_cache/iblock/7ab/230_355_1/20340300_5086_11ed_8175_0050568ef5e6_d05d0089_74b8_11ed_8177_0050568ef5e6.jpg
Дорога,Кормак Маккарті,Художня література,/catalog/postapokalipsys/doroha/,https://book-ye.com.ua//upload/resize_cache/iblock/9a0/230_355_1/7a4acb60_3295_11ed_8175_0050568ef5e6_891d23a7_3b4f_11ed_8175_0050568ef5e6.jpg
Літопис Сірого Ордену. Книга 3. Пісня дібров,Павло Дерев'янко,Художня література,/catalog/fentezi/litopys-siroho-ordenu-knyha-3-pisnya-dibrov/,https://book-ye.com.ua//upload/resize_cache/iblock/b51/230_355_1/4ad825e4_9350_11ed_8178_0050568ef5e6_ca57cb8e_9580_11ed_8178_0050568ef5e6.jpg
1984. Графічний роман,Джордж Орвелл,Художня література,/catalog/komiksy/1984-grafichnyj-roman/,https://book-ye.com.ua//upload/resize_cache/iblock/4de/230_355_1/733dae87_1d62_11ed_8173_0050568ef5e6_e14ccb25_4565_11ed_8175_0050568ef5e6.jpg
"Там, де співають раки",Делія Овенс,Художня література,/catalog/suchasna-zarubizhna-proza/tam-de-spivayut-raky/,https://book-ye.com.ua//upload/resize_cache/iblock/604/230_355_1/a26c27fd_c931_11eb_814d_0050568ef5e6_8f951155_c935_11eb_814d_0050568ef5e6.jpg
"Вибачте, на мене чекають",Аньєс Мартен-Люган ,Художня література,/catalog/suchasna-zarubizhna-proza/vybachte-na-mene-chekayut/,https://book-ye.com.ua//upload/resize_cache/iblock/9df/230_355_1/8336b6e1_9773_11eb_814a_0050568ef5e6_6489d2cd_9774_11eb_814a_0050568ef5e6.jpg
Список запрошених,Люсі Фолі,Художня література,/catalog/suchasna-zarubizhna-proza/spysok-zaproshenykh/,https://book-ye.com.ua//upload/resize_cache/iblock/7cd/230_355_1/3163c317_416b_11ec_8154_0050568ef5e6_807b953f_5bec_11ec_815d_0050568ef5e6.jpg
Ідол. Його сім'я,Анатолій Дімаров,Художня література,/catalog/ukrayinska-klasyka/idol-yoho-sim-ya/,https://book-ye.com.ua//upload/resize_cache/iblock/04a/230_355_1/d0e93ac8_7abc_11ed_8177_0050568ef5e6_cc3064b5_7abd_11ed_8177_0050568ef5e6.jpg
Обраниці,Жан-Крістоф Ґранже,Художня література,/catalog/istorychnyj-detektyv/obranytsi/,https://book-ye.com.ua//upload/resize_cache/iblock/625/230_355_1/d3f04019_756a_11ed_8177_0050568ef5e6_6582bb93_756d_11ed_8177_0050568ef5e6.jpg
Неймовірна історія сексу. Книга 1: Захід,Філіп Брено,Художня література,/catalog/komiksy/nejmovirna-istoriya-seksu-knyha-1-zakhid/,https://book-ye.com.ua//upload/resize_cache/iblock/d4b/230_355_1/0d8a732c_e186_11ec_8170_0050568ef5e6_4671d68b_e18a_11ec_8170_0050568ef5e6.jpg
Цікаві часи,Террі Пратчетт,Художня література,/catalog/fentezi/tsikavi-chasy/,https://book-ye.com.ua//upload/resize_cache/iblock/183/230_355_1/d083b422_3826_11ed_8175_0050568ef5e6_953cb7ab_3828_11ed_8175_0050568ef5e6.jpg
Село не люди 2. Добити свідка,Люко Дашвар,Художня література,/catalog/suchasna-ukrayinska-proza/selo-ne-lyudy-2-dobyty-svidka/,https://book-ye.com.ua//upload/resize_cache/iblock/947/230_355_1/6382e8d2_16d0_11ec_8150_0050568ef5e6_10159b25_2da5_11ec_8152_0050568ef5e6.jpg
Суворі чоловіки,Елізабет Ґілберт,Художня література,/catalog/suchasna-zarubizhna-proza/suvori-choloviky/,https://book-ye.com.ua//upload/resize_cache/iblock/24f/230_355_1/9c2a2fa2_ca20_11ec_816f_0050568ef5e6_06907d9d_ca23_11ec_816f_0050568ef5e6.jpg
Сталь та Сонячний шторм. Книга ІІ,Редгрейн Лебовскі,Художня література,/catalog/pidlitkove-fentezi/stal-ta-sonyachnyj-shtorm-knyha-ii/,https://book-ye.com.ua//upload/resize_cache/iblock/61f/230_355_1/73f6c220_6ff7_11ed_8176_0050568ef5e6_5d642467_7226_11ed_8176_0050568ef5e6.jpg
